epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,753.708,4.18782,8.03315,1.88651,0,0,0,0,3.12571,7.18611,1.3007,2.62616e-05,2.62616e-05,2.62616e-05
2,1328.77,3.10782,6.73981,1.25236,0,0,0,0,2.70443,6.55816,1.18742,5.15535e-05,5.15535e-05,5.15535e-05
3,1880.27,2.82469,6.23407,1.17185,4e-05,0.00109,1e-05,0,2.61687,6.0874,1.1423,7.58027e-05,7.58027e-05,7.58027e-05
4,2423.57,2.68506,5.83459,1.14759,0.00292,0.03655,0.00132,0.00058,2.44764,5.61969,1.1202,7.43074e-05,7.43074e-05,7.43074e-05
5,2963.51,2.60966,5.5059,1.13299,0.00226,0.32058,0.00532,0.0021,2.3063,5.20768,1.09478,7.27432e-05,7.27432e-05,7.27432e-05
6,3506.66,2.46449,5.15443,1.10539,0.00239,0.40718,0.00771,0.00338,2.19717,4.89304,1.06561,7.1179e-05,7.1179e-05,7.1179e-05
7,4063.49,2.37047,4.95769,1.0816,0.00261,0.45877,0.00925,0.00432,2.13746,4.77082,1.05125,6.96148e-05,6.96148e-05,6.96148e-05
8,4553.64,2.29573,4.83386,1.06418,0.00281,0.57058,0.01168,0.00566,2.0607,4.57166,1.02987,6.80506e-05,6.80506e-05,6.80506e-05
9,5050.51,2.23776,4.72584,1.0565,0.0029,0.50076,0.01189,0.00461,2.14609,4.62218,1.04999,6.64864e-05,6.64864e-05,6.64864e-05
10,5537.03,2.18704,4.62164,1.04679,0.00221,0.53969,0.01035,0.00593,1.99289,4.6115,1.01684,6.49222e-05,6.49222e-05,6.49222e-05
11,6023.28,2.14471,4.55405,1.03679,0.00337,0.61832,0.01465,0.00819,1.98269,4.39501,1.01531,6.3358e-05,6.3358e-05,6.3358e-05
12,6509.01,2.10474,4.49456,1.02184,0.003,0.67016,0.01517,0.00829,1.92639,4.37426,0.99849,6.17938e-05,6.17938e-05,6.17938e-05
13,6994.95,2.08702,4.45251,1.02288,0.00342,0.6643,0.01571,0.00962,1.83068,4.32463,0.98566,6.02296e-05,6.02296e-05,6.02296e-05
14,7483.59,2.05129,4.37934,1.01362,0.00297,0.69447,0.01811,0.01065,1.86387,4.30416,0.9855,5.86654e-05,5.86654e-05,5.86654e-05
15,7970.98,2.03841,4.32227,1.00919,0.00331,0.70145,0.01896,0.01126,1.7475,4.20554,0.9668,5.71012e-05,5.71012e-05,5.71012e-05
16,8459.86,1.99704,4.26142,1.00302,0.0037,0.69165,0.02166,0.01184,1.83356,4.15369,0.98729,5.5537e-05,5.5537e-05,5.5537e-05
17,8945.68,1.98086,4.2027,0.99612,0.00351,0.71097,0.02429,0.01407,1.75984,4.11743,0.97163,5.39728e-05,5.39728e-05,5.39728e-05
18,9487.49,1.9485,4.15919,0.99415,0.00493,0.70573,0.02704,0.01563,1.80108,4.0019,0.97251,5.24086e-05,5.24086e-05,5.24086e-05
19,10057.4,1.93868,4.11192,0.99424,0.00444,0.70858,0.03343,0.02092,1.66848,3.98068,0.95853,5.08444e-05,5.08444e-05,5.08444e-05
20,10654.4,1.90546,4.06877,0.98713,0.00458,0.69538,0.03508,0.01896,1.8073,3.99079,0.97832,4.92802e-05,4.92802e-05,4.92802e-05
21,11120.8,1.90441,3.99391,0.98526,0.00583,0.70327,0.03536,0.02116,1.70943,3.9091,0.96099,4.7716e-05,4.7716e-05,4.7716e-05
22,11557.3,1.89136,3.97538,0.98252,0.22249,0.36752,0.04178,0.02501,1.65213,3.87475,0.95356,4.61518e-05,4.61518e-05,4.61518e-05
23,11991.6,1.87788,3.943,0.98346,0.00701,0.71502,0.04272,0.02548,1.70894,3.78494,0.95908,4.45876e-05,4.45876e-05,4.45876e-05
24,12427.6,1.85239,3.90884,0.97851,0.26898,0.1143,0.04891,0.02926,1.62729,3.76302,0.94848,4.30234e-05,4.30234e-05,4.30234e-05
25,12863,1.86553,3.89492,0.98105,0.55793,0.03493,0.04808,0.03017,1.60121,3.77344,0.94548,4.14592e-05,4.14592e-05,4.14592e-05
26,13297.6,1.82542,3.81614,0.9739,0.47372,0.05137,0.04752,0.02795,1.65094,3.82145,0.94891,3.9895e-05,3.9895e-05,3.9895e-05
27,13730,1.83078,3.82082,0.97387,0.59845,0.04035,0.05497,0.03404,1.58658,3.67533,0.94441,3.83308e-05,3.83308e-05,3.83308e-05
28,14184.4,1.83314,3.81149,0.97711,0.57151,0.06027,0.05553,0.03486,1.58103,3.64608,0.94099,3.67666e-05,3.67666e-05,3.67666e-05
29,14689.8,1.80342,3.77182,0.96894,0.46371,0.07202,0.05777,0.03741,1.53931,3.61036,0.93851,3.52024e-05,3.52024e-05,3.52024e-05
30,15181.5,1.78678,3.72526,0.96773,0.52708,0.07302,0.05798,0.03676,1.56364,3.6003,0.93879,3.36382e-05,3.36382e-05,3.36382e-05
31,15664.3,1.77361,3.69536,0.96422,0.5802,0.07951,0.05897,0.03801,1.55513,3.5862,0.93498,3.2074e-05,3.2074e-05,3.2074e-05
32,16162.1,1.76287,3.68292,0.96183,0.53167,0.08084,0.05917,0.03694,1.56424,3.60133,0.93651,3.05098e-05,3.05098e-05,3.05098e-05
33,16666.9,1.74414,3.63811,0.96076,0.60313,0.07718,0.05999,0.03895,1.53673,3.5351,0.93495,2.89456e-05,2.89456e-05,2.89456e-05
34,17167.5,1.74505,3.63403,0.95981,0.59434,0.08912,0.06168,0.04035,1.52407,3.5297,0.93109,2.73814e-05,2.73814e-05,2.73814e-05
35,17669.5,1.7248,3.60141,0.95498,0.59754,0.09518,0.05978,0.03822,1.55171,3.52751,0.93632,2.58172e-05,2.58172e-05,2.58172e-05
36,18171.1,1.7217,3.60351,0.9569,0.63731,0.08829,0.0611,0.0411,1.48288,3.49892,0.92491,2.4253e-05,2.4253e-05,2.4253e-05
37,18674,1.71155,3.57533,0.95493,0.66481,0.0937,0.06344,0.04131,1.50584,3.46665,0.92844,2.26888e-05,2.26888e-05,2.26888e-05
38,19177.9,1.69487,3.54945,0.95193,0.66111,0.09658,0.0658,0.04363,1.50941,3.45748,0.9277,2.11246e-05,2.11246e-05,2.11246e-05
39,19683.9,1.68475,3.54182,0.95231,0.55226,0.10483,0.06448,0.04359,1.47245,3.46842,0.92237,1.95604e-05,1.95604e-05,1.95604e-05
40,20183.9,1.68532,3.53902,0.95074,0.61828,0.10912,0.06692,0.04476,1.47346,3.42754,0.92348,1.79962e-05,1.79962e-05,1.79962e-05
41,20675.2,1.6111,3.4805,0.96658,0.56521,0.10998,0.06695,0.04357,1.51884,3.47299,0.92682,1.6432e-05,1.6432e-05,1.6432e-05
42,21165.5,1.53008,3.39035,0.94339,0.56115,0.11958,0.06612,0.04382,1.50395,3.44226,0.92496,1.48678e-05,1.48678e-05,1.48678e-05
43,21656.7,1.49561,3.33033,0.93959,0.56288,0.11737,0.06789,0.04516,1.4942,3.4195,0.9247,1.33036e-05,1.33036e-05,1.33036e-05
44,22148,1.47768,3.3287,0.94111,0.60685,0.11792,0.07067,0.04793,1.4587,3.39942,0.91994,1.17394e-05,1.17394e-05,1.17394e-05
